ID,Espèce,Chemin d'accès
1,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\1.jpg
10,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\10.jpg
100,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\100.jpeg
101,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\101.jpeg
102,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\102.jpeg
103,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\103.jpeg
104,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\104.jpeg
105,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\105.jpeg
106,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\106.jpeg
107,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\107.jpeg
108,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\108.jpeg
109,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\109.jpeg
11,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\11.jpg
110,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\110.jpeg
111,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\111.jpeg
112,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\112.jpeg
113,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\113.jpeg
114,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\114.jpeg
115,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\115.jpeg
116,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\116.jpeg
117,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\117.jpeg
118,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\118.jpeg
119,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\119.jpeg
12,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\12.jpg
120,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\120.jpeg
121,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\121.jpeg
122,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\122.jpeg
123,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\123.jpeg
124,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\124.jpeg
125,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\125.jpeg
126,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\126.jpeg
127,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\127.jpg
128,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\128.jpg
129,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\129.jpg
13,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\13.jpg
130,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\130.jpg
131,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\131.jpg
132,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\132.jpg
133,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\133.jpg
134,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\134.jpg
135,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\135.jpg
136,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\136.jpg
137,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\137.jpg
138,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\138.jpg
139,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\139.jpg
14,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\14.jpg
140,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\140.jpg
141,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\141.jpg
142,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\142.jpg
143,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\143.jpg
