ID,Espèce,Chemin d'accès
10,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\10.jpg
100,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\100.jpg
101,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\101.jpg
102,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\102.jpg
103,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\103.jpg
104,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\104.jpg
105,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\105.jpg
106,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\106.jpg
107,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\107.jpg
108,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\108.jpg
109,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\109.jpg
11,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\11.jpg
110,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\110.jpg
111,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\111.jpg
112,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\112.jpg
113,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\113.jpg
114,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\114.jpg
116,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\116.jpg
117,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\117.jpg
118,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\118.jpg
119,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\119.jpg
12,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\12.jpg
13,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\13.jpg
14,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\14.jpg
15,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\15.jpg
16,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\16.jpg
17,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\17.jpg
18,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\18.jpg
19,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\19.jpg
2,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\2.jpg
20,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\20.jpg
21,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\21.jpg
22,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\22.jpg
23,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\23.jpg
24,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\24.jpg
25,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\25.jpg
26,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\26.jpg
27,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\27.jpg
28,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\28.jpg
29,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\29.jpg
3,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\3.jpg
30,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\30.jpg
31,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\31.jpg
32,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\32.jpg
33,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\33.jpg
34,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\34.jpg
35,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\35.jpg
36,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\36.jpg
37,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\37.jpg
38,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\38.jpg
39,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\39.jpg
4,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\4.jpg
40,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\40.jpg
41,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\41.jpg
42,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\42.jpg
43,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\43.jpg
44,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\44.jpg
45,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\45.jpg
46,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\46.jpg
47,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\47.jpg
48,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\48.jpg
49,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\49.jpg
5,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\5.jpg
50,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\50.jpg
51,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\51.jpg
52,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\52.jpg
53,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\53.jpg
54,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\54.jpg
55,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\55.jpg
56,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\56.jpg
57,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\57.jpg
58,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\58.jpg
59,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\59.jpg
6,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\6.jpg
60,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\60.jpg
61,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\61.jpg
62,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\62.jpg
63,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\63.jpg
64,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\64.jpg
65,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\65.jpg
66,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\66.jpg
67,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\67.jpg
68,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\68.jpg
69,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\69.jpg
7,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\7.jpg
70,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\70.jpg
71,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\71.jpg
72,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\72.jpg
73,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\73.jpg
74,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\74.jpg
75,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\75.jpg
76,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\76.jpg
